Palabra,Frecuencia
que,20396
y,17946
de,17936
la,10224
a,9694
en,8075
el,8069
no,6164
los,4697
se,4643
con,4152
por,3837
las,3424
lo,3414
le,3380
su,3334
don,2628
del,2451
me,2324
como,2239
quijote,2156
sancho,2142
es,2087
yo,2050
más,2020
si,1932
un,1909
dijo,1803
al,1698
mi,1682
para,1420
porque,1382
ni,1347
una,1318
él,1270
tan,1210
o,1189
todo,1164
sin,1141
respondió,1062
ser,1054
señor,1053
así,1053
ha,1043
sus,1038
bien,1028
había,1028
pero,1003
merced,897
esto,874
pues,846
vuestra,838
todos,810
ya,775
era,750
cuando,749
te,709
cual,691
sino,688
dos,680
donde,667
caballero,655
fue,638
este,633
esta,612
quien,602
ella,597
decir,574
qué,554
muy,532
he,530
hacer,526
aunque,522
dios,518
señora,514
otra,506
otro,504
aquí,504
mí,497
aquel,483
estaba,477
son,477
hay,456
sobre,451
mal,447
nos,445
cosa,442
os,437
buen,437
está,433
verdad,428
tal,422
allí,421
tanto,417
ver,405
tengo,400
mundo,389
mis,386
luego,384
hasta,381
sé,381
alguna,381
poco,376
tiene,376
entre,370
todas,365
dar,364
dicho,360
buena,358
parte,357
ahora,356
vida,354
uno,349
tenía,349
han,346
les,346
cosas,345
lugar,343
sí,342
menos,338
gran,333
casa,332
aquella,332
eso,331
soy,328
panza,324
manera,324
tiempo,321
tu,321
toda,314
cura,313
digo,308
puesto,304
mano,301
ellos,294
amo,294
dio,293
caballeros,293
mejor,292
mucho,291
antes,289
fuera,284
puede,283
sea,281
visto,281
ojos,280
algún,279
dulcinea,276
otras,271
día,271
tierra,271
hecho,268
¿qué,267
otros,259
quiero,257
aun,257
padre,256
hombre,256
tú,255
haber,252
habían,250
cielo,249
vio,245
parece,245
camino,245
saber,244
estas,243
amigo,242
hizo,242
muchas,240
tener,239
historia,239
días,238
manos,237
escudero,237
cuanto,234
mas,234
tres,230
desta,229
fin,228
también,226
mujer,225
dice,224
será,217
mesmo,216
cada,215
cabeza,214
noche,211
cuenta,210
punto,209
replicó,208
veces,205
nuestro,204
fuese,204
vuesa,202
rocinante,200
parecer,200
razones,199
duque,199
muchos,198
diciendo,198
caballo,197
estos,197
debe,195
después,195
andante,194
gusto,193
cómo,193
pie,193
sólo,193
podía,193
grande,193
vos,192
eran,191
vez,189
duquesa,189
decía,188
primero,187
mío,185
llegó,184
mil,183
mucha,180
voz,179
duda,177
nombre,175
mismo,175
adelante,175
¡oh,174
estaban,174
gobernador,173
barbero,167
modo,167
desde,167
quién,165
estar,162
andantes,162
nada,162
mancha,162
hija,162
dado,162
según,162
iba,161
toboso,161
sido,161
voluntad,160
deseo,158
quiso,158
gente,156
aquellos,156
cuatro,156
armas,155
vuestro,153
ventura,153
rostro,152
capítulo,152
venía,151
hace,151
alma,151
tales,151
señores,150
razón,150
entender,150
nunca,149
tanta,149
muerte,149
menester,148
viendo,148
camila,148
siempre,148
fueron,148
deste,148
doncella,147
palabra,147
has,147
va,146
agora,145
entonces,144
cuales,143
mía,143
caballería,142
puso,142
nadie,142
suelo,141
tienen,141
castillo,140
quiere,140
corazón,140
lotario,140
ninguna,140
dicen,140
venta,139
ir,139
jamás,139
suerte,139
alguno,139
hermosa,138
cuerpo,138
nuestra,138
anselmo,138
libros,137
preguntó,137
vino,137
fernando,135
pies,134
unos,132
mala,132
quedó,132
comenzó,132
voces,132
persona,132
mayor,131
finalmente,131
años,129
rey,129
tus,129
dél,129
caso,129
aventura,128
fuerza,128
salir,128
algo,127
poner,126
oído,126
ellas,126
memoria,126
grandes,126
mitad,125
contra,124
éste,124
delante,123
hermosura,123
palabras,123
tuvo,123
causa,122
cierto,122
posible,121
fama,121
amor,121
volvió,120
rucio,119
algunos,119
sabe,118
ventero,118
demás,117
contento,117
hacía,116
ínsula,116
pasar,115
ese,114
están,114
venir,114
haya,114
sería,114
gobierno,113
casi,113
debía,112
nuevo,112
figura,112
espada,111
dejar,111
loco,111
ello,111
dorotea,111
tantas,109
bachiller,109
junto,108
hora,108
siendo,108
nosotros,108
volver,107
muerto,107
habéis,107
boca,106
daba,106
da,106
intención,105
tomar,105
pena,105
hermano,105
triste,105
ocasión,104
aquello,104
pueblo,104
pedro,103
buscar,103
partes,102
hombres,101
cardenio,101
ciudad,101
buenos,101
della,101
unas,101
pareció,100
pensamientos,100
lengua,100
estoy,100
¿quién,100
apenas,100
poder,100
comer,99
pudo,99
paso,99
llevar,99
estado,99
bueno,99
lágrimas,98
medio,98
ninguno,98
luscinda,98
pienso,97
solo,97
esa,97
tantos,97
adonde,97
dellos,96
creo,96
quería,96
pobre,96
hablar,96
vista,96
puedo,96
aquellas,95
parecía,95
orden,94
hijo,94
carta,94
libro,94
oro,93
aposento,93
viene,93
traía,93
diablo,93
hubo,93
aventuras,92
primera,92
buenas,92
brazos,91
suyo,91
podría,91
ésta,91
conmigo,90
sabía,89
dando,89
cabo,89
pensar,89
entrar,89
fe,88
pudiera,88
estando,88
teresa,87
famoso,87
cuento,87
salió,87
suele,87
mozo,86
asno,86
mañana,86
puerta,86
quisiera,86
mesma,85
pecho,85
mira,85
algunas,85
dieron,85
habiendo,85
campo,84
aún,84
vuestras,84
gana,84
juicio,83
pueden,83
dé,82
dejó,82
nuevas,82
ti,82
trabajo,82
tras,82
autor,82
sazón,82
cuantos,82
valor,82
batalla,81
libertad,80
cuya,80
natural,80
llaman,79
quizá,79
¿no,79
entendimiento,79
madre,79
pensamiento,78
peligro,78
zoraida,78
tenga,78
sol,78
pasó,78
locura,78
marido,78
cerca,77
pueda,77
misma,77
sean,77
caballerías,76
falta,76
agua,76
mercedes,76
allá,76
honra,76
desgracia,76
brazo,76
criado,75
seis,75
sansón,75
rico,75
doña,75
hubiera,75
haga,75
presto,75
hoy,74
ama,74
españa,74
dueña,74
semejantes,74
debajo,74
remedio,73
eres,73
jumento,73
valeroso,73
nuestros,73
silencio,73
priesa,73
podrá,73
fortuna,73
venían,72
deseos,72
reino,72
hacen,72
e,71
entró,71
condición,71
doncellas,71
espacio,71
licencia,71
labrador,71
cristiano,70
discreto,70
halló,70
padres,70
cuán,70
llegar,70
cristianos,69
fuere,69
haré,69
vestido,69
leído,69
quisiere,69
llegaron,69
hicieron,69
mandó,68
gracias,68
querría,67
suya,67
pasado,67
suceso,67
pensaba,67
tomó,67
sucedió,67
tenían,66
mayores,66
espaldas,66
bosque,66
creer,66
virtud,66
hazañas,66
leer,65
silla,65
barbas,65
muestras,65
luz,65
hago,65
ánimo,65
