ProductID;LastYear;Zip;Units;Revenue;Country;Date
725;15/01/2006;H1B;1;1.154.475;Canada;15/01/2007
2235;15/01/2006;H1B;2;131.145;Canada;15/01/2007
713;15/01/2006;H1B;1;1.600.725;Canada;15/01/2007
574;05/06/2009;H1B;1;8.691.375;Canada;05/06/2010
94;15/02/2006;H1B;1;866.25;Canada;15/02/2007
609;15/02/2006;H1B;1;7.788.375;Canada;15/02/2007
2064;15/03/2006;H1B;2;976.395;Canada;15/03/2007
714;15/01/2006;H1B;1;1.600.725;Canada;15/01/2007
826;31/05/2009;H1B;1;9.449.475;Canada;31/05/2010
2149;06/06/2009;H1B;2;871.395;Canada;06/06/2010
992;15/02/2006;H1B;1;2.886.975;Canada;15/02/2007
726;15/01/2006;M4X;1;1.154.475;Canada;15/01/2007
725;15/01/2006;M4X;1;1.154.475;Canada;15/01/2007
910;15/03/2006;M4X;1;4.146.975;Canada;15/03/2007
727;15/01/2006;R3T;1;629.475;Canada;15/01/2007
1426;15/02/2006;R3T;1;286.02;Canada;15/02/2007
1182;15/01/2006;R3T;1;1.574.475;Canada;15/01/2007
976;31/05/2009;R3T;1;3.149.475;Canada;31/05/2010
758;15/01/2006;R3T;1;839.475;Canada;15/01/2007
1112;15/02/2006;R3T;1;1.164.975;Canada;15/02/2007
1425;15/02/2006;R3T;1;286.02;Canada;15/02/2007
740;15/01/2006;R3G;1;1.705.725;Canada;15/01/2007
604;15/01/2006;R3G;1;4.617.375;Canada;15/01/2007
726;15/01/2006;R3G;1;1.154.475;Canada;15/01/2007
758;15/01/2006;R3G;1;839.475;Canada;15/01/2007
1131;15/02/2006;R3G;1;4.199.475;Canada;15/02/2007
753;15/02/2006;R3G;1;2.440.725;Canada;15/02/2007
2234;15/02/2006;R3G;1;655.725;Canada;15/02/2007
739;15/01/2006;R3G;1;1.705.725;Canada;15/01/2007
768;15/01/2006;R3G;1;1.049.475;Canada;15/01/2007
725;15/01/2006;R3G;1;1.154.475;Canada;15/01/2007
